name,test_auc_roc_score,seed,test_tp,test_tn,test_fn,test_fp,test_se,test_sp,test_mcc,test_acc,test_F1,test_BA
P16234,0.917094017,1233,43,4,2,9,0.955555556,0.307692308,0.360466982,0.810344828,0.886597938,0.631623932
P16591,0.944444444,1236,6,0,0,3,1,0,,0.666666667,0.8,0.5
P17252,0.932692308,1236,75,30,3,14,0.961538462,0.681818182,0.695462082,0.860655738,0.898203593,0.821678322
P17612,0.888888889,1231,6,11,3,3,0.666666667,0.785714286,0.452380952,0.739130435,0.666666667,0.726190476
P17948,0.919753086,1238,76,15,5,13,0.938271605,0.535714286,0.535028526,0.834862385,0.894117647,0.736992945
P19525,0.958333333,1234,0,8,3,0,0,1,,0.727272727,,0.5
P19784,1,1236,16,1,0,6,1,0.142857143,0.322329186,0.739130435,0.842105263,0.571428571
P21709,1,1231,3,0,0,2,1,0,,0.6,0.75,0.5
P21802,0.99195171,1237,141,2,1,5,0.992957746,0.285714286,0.419806851,0.959731544,0.979166667,0.639336016
P21803,1,1232,2,2,0,0,1,1,1,1,1,1
P21860,1,1239,15,4,0,1,1,0.8,0.866025404,0.95,0.967741935,0.9
P22455,0.966165414,1237,133,0,0,8,1,0,,0.943262411,0.97080292,0.5
P22607,0.896065922,1236,169,4,2,18,0.988304094,0.181818182,0.311511547,0.896373057,0.944134078,0.585061138
P22694,1,1231,2,0,0,1,1,0,,0.666666667,0.8,0.5
P23443,0.974489796,1234,126,4,0,10,1,0.285714286,0.514495755,0.928571429,0.961832061,0.642857143
P23458,0.988012432,1236,697,14,2,15,0.99713877,0.482758621,0.640156246,0.976648352,0.987951807,0.739948695
P24723,1,1240,24,5,0,1,1,0.833333333,0.894427191,0.966666667,0.979591837,0.916666667
P24941,0.946230769,1237,249,26,1,26,0.996,0.5,0.65630411,0.910596026,0.948571429,0.748
P25098,0.947089947,1239,18,16,3,2,0.857142857,0.888888889,0.744065915,0.871794872,0.87804878,0.873015873
P27361,1,1232,10,5,0,0,1,1,1,1,1,1
P27448,1,1231,8,0,0,4,1,0,,0.666666667,0.8,0.5
P28482,0.987407407,1236,270,0,0,5,1,0,,0.981818182,0.990825688,0.5
P29317,0.929292929,1235,45,3,0,8,1,0.272727273,0.481207743,0.857142857,0.918367347,0.636363636
P29320,1,1231,3,2,0,1,1,0.666666667,0.707106781,0.833333333,0.857142857,0.833333333
P29322,1,1232,2,0,0,2,1,0,,0.5,0.666666667,0.5
P29323,1,1239,2,5,2,0,0.5,1,0.597614305,0.777777778,0.666666667,0.75
P29376,1,1236,2,2,2,0,0.5,1,0.5,0.666666667,0.666666667,0.75
P29597,0.94769436,1235,251,14,5,27,0.98046875,0.341463415,0.453813156,0.892255892,0.940074906,0.660966082
P30291,0.994230769,1232,52,6,0,4,1,0.6,0.746420027,0.935483871,0.962962963,0.8
P30530,0.952647439,1240,96,15,5,8,0.95049505,0.652173913,0.636900754,0.89516129,0.936585366,0.801334481
P31749,0.960658884,1240,166,20,3,17,0.982248521,0.540540541,0.637208035,0.902912621,0.943181818,0.761394531
P31751,0.959663866,1240,85,11,0,10,1,0.523809524,0.684595997,0.905660377,0.944444444,0.761904762
P32298,1,1231,2,2,0,0,1,1,1,1,1,1
P33981,0.97957958,1231,111,10,0,5,1,0.666666667,0.79870585,0.96031746,0.977973568,0.833333333
P34947,1,1233,2,11,2,0,0.5,1,0.650443636,0.866666667,0.666666667,0.75
P35590,1,1231,3,0,0,2,1,0,,0.6,0.75,0.5
P35916,0.977777778,1231,18,4,0,1,1,0.8,0.8705715,0.956521739,0.972972973,0.9
P35918,1,1231,6,5,1,0,0.857142857,1,0.845154255,0.916666667,0.923076923,0.928571429
P35968,0.952910959,1232,292,0,0,8,1,0,,0.973333333,0.986486486,0.5
P35969,1,1231,0,4,1,0,0,1,,0.8,,0.5
P36507,0.95,1240,4,4,0,1,1,0.8,0.8,0.888888889,0.888888889,0.9
P36888,0.967978395,1237,94,20,2,7,0.979166667,0.740740741,0.777538878,0.926829268,0.954314721,0.859953704
P36894,1,1234,3,0,0,2,1,0,,0.6,0.75,0.5
P36896,1,1231,8,6,0,1,1,0.857142857,0.872871561,0.933333333,0.941176471,0.928571429
P36897,0.936034115,1238,66,9,1,12,0.985074627,0.428571429,0.555557013,0.852272727,0.910344828,0.706823028
P37023,1,1231,14,4,0,1,1,0.8,0.86409876,0.947368421,0.965517241,0.9
P37173,0.852380952,1235,5,25,10,3,0.333333333,0.892857143,0.277025626,0.697674419,0.434782609,0.613095238
P41240,1,1231,3,4,1,0,0.75,1,0.774596669,0.875,0.857142857,0.875
P41279,0.955882353,1236,16,7,1,1,0.941176471,0.875,0.816176471,0.92,0.941176471,0.908088235
